"ecosystem","name","version","declared_license","scope","source","checksum"
"npm","@esbuild/linux-ia32","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.28.2.tgz","sha512-CYbnj78HsIeA+DhgUKgFCfvNsTHFhMMrinUrMZpDXJXKN8T3XViTZ/+wtHeVxEWY8ewSzTFN+nRmSwO2tZaLUQ=="
"npm","@esbuild/linux-loong64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.28.2.tgz","sha512-buwkd8nsph4R+ajRvw0qM5Hja/TXQow3ptzWO2EbG/cqcIkHloRrdlBtQlshyYGTNFvfkfJ5tpPLVkY4DtsPfQ=="
"npm","@esbuild/linux-mips64el","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.28.2.tgz","sha512-ZVykbDyk7519VwiNb9Lcj9m8XM6v5V9uKPvrEMkkEedVewf+0itkhahp4HDpgERXhwLRpWFypsGbG/J8s0QjJA=="
"npm","@esbuild/linux-ppc64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.28.2.tgz","sha512-CAXl+Dtd9UUuJd8pKKdwh6MLm3MUMiqMPmhZ3tTSXPqfyQ3vDl6R5hZdZ/kYojK4ofXtdfSv1tFq8XzWx3heNQ=="
"npm","@esbuild/linux-riscv64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-riscv64/-/linux-riscv64-0.28.2.tgz","sha512-GeXCej4IQtU1B+QlDV8W/RRvbzI3O/Stss+/bCXv4lZls5WGRtu2a+3JkA3i4qIUlMXpcHebWpF8AkJhATowuA=="
"npm","@esbuild/linux-s390x","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-s390x/-/linux-s390x-0.28.2.tgz","sha512-3H1weTYZPxt/WOhByszQZybS9w5lKzUn1FDMsgEChbHWQwHYQQRfBxgCcZvPhjHfKyJjIievvMmEUawJrdY9Dg=="
"npm","@esbuild/linux-x64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/linux-x64/-/linux-x64-0.28.2.tgz","sha512-4xTZr1FUmSoQW4XIWmit3tzQrUTZM+N3P0XV8xROKYF50XfI7xeO90+1bZvNwxIufQ9hDQVRJH5YhgPVF8A/HQ=="
"npm","@esbuild/netbsd-arm64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/netbsd-arm64/-/netbsd-arm64-0.28.2.tgz","sha512-sSATRjPeDBg3pdgHoQfoYBob11Kk1FGa9lui5RIHZCoCkJa9QKlvl3/vKz2usCmYYjs7ymJR/2Nnsqe+Hjt5nw=="
"npm","@esbuild/netbsd-x64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/netbsd-x64/-/netbsd-x64-0.28.2.tgz","sha512-lqnzCV+mM0gIADaKihiCg6ifgfU2L3h5E33rNQBN1Y4MaVGnzryzmvvf7UHxprpQdE8hpqLolJ9Rl+SkIRDpyw=="
"npm","@esbuild/openbsd-arm64","0.28.2","MIT","desarrollo","https://registry.npmjs.org/@esbuild/openbsd-arm64/-/openbsd-arm64-0.28.2.tgz","sha512-AL2qJILH7lNjrDmCQDvdxMfAUIv8KMNZOvrwAQ8i8//ntL9FflhOyMJ8OZSMBb8/AWXe3/5v5S20y3zCoZWKoQ=="
