"ecosystem","component","version","license","evidence","notice_files"
"cargo","num-conv","0.2.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","num-traits","0.2.19","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","once_cell","1.21.4","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","open","5.4.2","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE.md"
"cargo","option-ext","0.2.0","MPL-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE.txt"
"cargo","parking","2.2.1","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT; LICENSE-THIRD-PARTY"
"cargo","parking_lot","0.12.5","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","parking_lot_core","0.9.12","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","pbkdf2","0.12.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","percent-encoding","2.3.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","phf","0.13.1","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","phf_shared","0.13.1","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","pin-project-lite","0.2.17","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","plist","1.10.0","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)",""
"cargo","potential_utf","0.1.6","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","powerfmt","0.2.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","quick-xml","0.41.0","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT.md"
"cargo","raw-window-handle","0.6.2","MIT OR Apache-2.0 OR Zlib","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT.md; LICENSE-ZLIB.md"
"cargo","regex","1.13.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","regex-automata","0.4.18","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","regex-syntax","0.8.11","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","rfd","0.16.0","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","rusqlite","0.32.1","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","rust_decimal","1.42.1","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","ryu","1.0.23","Apache-2.0 OR BSL-1.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-APACHE; LICENSE-BOOST"
"cargo","same-file","1.0.6","Unlicense/MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","COPYING; LICENSE-MIT"
"cargo","scopeguard","1.2.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","semver","1.0.28","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","serde","1.0.229","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","serde_core","1.0.229","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","serde_json","1.0.151","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","serde_spanned","1.1.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","serde_urlencoded","0.7.1","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","serde_with","3.22.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","serde-untagged","0.1.9","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","serialize-to-javascript","0.1.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","sha1","0.10.7","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","sha2","0.10.9","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","simd-adler32","0.3.10","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE.md"
"cargo","siphasher","1.0.3","MIT/Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","COPYING"
"cargo","slab","0.4.12","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","smallvec","1.15.2","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","socket2","0.6.5","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","softbuffer","0.4.8","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","spin","0.9.9","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","sqlx","0.8.6","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","sqlx-core","0.8.6","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","sqlx-sqlite","0.8.6","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","stable_deref_trait","1.2.1","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","subtle","2.6.1","BSD-3-Clause","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","tao","0.35.3","Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE; LICENSE.spdx"
"cargo","tauri","2.11.5","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE_MIT"
"cargo","tauri-plugin-dialog","2.7.2","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE.spdx; LICENSE_MIT"
"cargo","tauri-plugin-fs","2.5.1","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE.spdx; LICENSE_MIT"
"cargo","tauri-plugin-opener","2.5.4","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE.spdx; LICENSE_MIT"
"cargo","tauri-plugin-sql","2.4.0","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE.spdx; LICENSE_MIT"
"cargo","tauri-runtime","2.11.3","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE_MIT"
"cargo","tauri-runtime-wry","2.11.4","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE_MIT"
"cargo","tauri-utils","2.9.3","Apache-2.0 OR MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE_MIT"
"cargo","thiserror","2.0.20","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","thiserror","1.0.69","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","time","0.3.55","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","time-core","0.1.9","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","tinystr","0.8.4","Unicode-3.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","tokio","1.53.1","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","tokio-stream","0.1.19","MIT","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE"
"cargo","toml","1.1.4+spec-1.1.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","toml_datetime","1.1.1+spec-1.1.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
"cargo","toml_parser","1.1.3+spec-1.1.0","MIT OR Apache-2.0","Cargo compiler-artifact release opt_level=3 lib; runtime contributor (elimination por linker no cuantificada)","LICENSE-MIT"
